name	hash	compiles	blocker_category	blocker	equiv	equiv_detail
Darklang.SCM.PartialCommit.docIdIfWanted	7de701d74d5c7bce3b462aae608fb3ccdf5938e44f306a334ce947a13fb786bb	yes		76032 bytes	match	match
Darklang.PrettyPrinter.RuntimeTypes.Dval.makeSpaces	7dec0c2bce80ecdb873cf86faf8017d3d46022b85b24f80599e21b346a1c3f1d	yes		33488 bytes	match	match
Darklang.Cli.Outliner.Editor.moveBy	7ded2437af9644ece3a7b697f19ff00e12ffdbd9853edf3fcfbf4066f3a7fe59	no	other	Type variable a$0 has conflicting inferences: T.2285bfc3f320574bc10a82e8f98728166c2fd16765e46a45162840a22797783f vs Int64		
Darklang.WIP.AI.OpenAI.Responses.InputItem.file	7df993c347ff37476624a09b7a31a1b3f6826298e25e6673c509ecbc07d0e7a7	yes		528 bytes	missing	missing|no record in the sweep output
Darklang.LanguageTools.LspServer.TreeView.buildTreeItems	7e019387e15f37d99ae3a305a3978d3e01988789a4bd52bdd54a35ed29fa32d5	no	builtin not routed	unsupported-builtin: listUnique_v0		
Darklang.Stdlib.UInt16.sum	7e16567c6326c5250097a6f35bede8aa2eda82ef24665df074218dce2b79ef01	yes		43856 bytes	match	match
Darklang.ModelContextProtocol.Resources.ListResourcesResponse.toJson	7e1b1af13d50b3c427f91c1b41199a0fb889c12ff3756eab8e780b26592e563d	yes		58432 bytes	match	match
Darklang.WIP.AI.Anthropic.Chat.ServiceTier.toString	7e2eb9a18b5279467c90f9b8281021e70245112f2169377a01dc03e06c5a97cb	yes		760 bytes	match	match
Darklang.Stdlib.Int16.toFloat	7e3bf907902a7f202910b97644adc656836f294654b0aa6d33f507bef6e017c4	no	builtin not routed	unsupported-builtin: int16ToFloat_v0		
Darklang.Cli.Listing.cappedGroups	7e3ef455296e7dbddb80a61cb09e10ce8c42458ec84ba92a837c236b96e0e4f5	no	compiler: type error	Type mismatch in function fn.0a14470aa13855f80ea0b6df14357cacf8d2db83d43a4486dba15d8e564f88aa body: expected (List<a>, Int64), got (List<t>, Int64)		
Darklang.WIP.AI.OpenAI.Audio.Transcriptions.withChunkingStrategy	7e46ebfbbb5c03026993c97f3ae45a477abf2aa12c25697c6671c8c9ccd84c9e	yes		1792 bytes	match	match
Darklang.LanguageTools.Permissions.portScope	7e48ae9f9c312808e9e817b2ec85d909e564d79e922f8265802339a73b43a7ba	yes		48000 bytes	match	match
Darklang.Stdlib.Cli.UI.Chrome.titleRows	7e626f4e3d6a51ffd34ce1a4a721a95c8b7d199bb38c8310f1c71368dcc248db	yes		584 bytes	match	match
Darklang.LanguageTools.LspServer.Completions.hardcodedServerCapabilities	7e64e79f1e7d0800478c48b350da6f91acbea6121d7aa123e47f6984a22f3104	yes		3328 bytes	match	match
Darklang.Cli.Setup.askWithCurrent	7e66578b3600acfab8dbdeaace178477d01806a9eabef81c5791f84c8bf513c7	yes		41288 bytes	match	match
Darklang.ModelContextProtocol.ServerBuilder.logWithPath	7e69805707df1c3749704a3aced1e131fbb91b026c64d3a68fdee3072962f7d0	no	builtin not routed	unsupported-builtin: dateTimeToString_v0		
Darklang.Cli.Tests.testWorkbenchModuleInspectPreviewsChildren	7e776f03fd3a9b91f6ef709767b07e11eb95981325b783498a06345905264653	no	builtin routed, return type unmarshalable	unsupported-builtin: pmSearch: T.751f8f7eebb10ce34c92278e99a9686bc43a476a448f467eeed11d0042d1eb44: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.Stdlib.Html.article	7e7d966f5c4b90e495963793856a8f0b6cef733dd3cd933da54469b2c1dfe08a	yes		1048 bytes	ierr	ierr|[]
Darklang.Stdlib.Int8.fromUInt128	7e80b11ca9ccb57dd5152d9fe461b155864f19c93e7276e1142af8307a177dd4	no	builtin not routed	unsupported-builtin: int8FromUInt128_v0		
Darklang.Cli.Commit.isKnownFlag	7e8aa003502f6283ca4c8c02489859f16bbbe47f0ce4fe8d23f55b782f35c7b4	yes		2144 bytes	match	match
Darklang.Stdlib.Int.fromInt128	7e9f3583b5bb71962f5cc05e4c8acb990b3832f17fdf60d54c194472e1c6e468	no	builtin not routed	unsupported-builtin: intFromInt128_v0		
Darklang.Cli.Outliner.Commands.import	7eb136d7e08ad94a913fbc08a7a7695f408d13b3ae808847c3c3f5a3345015a3	no	unsupported-type	unsupported-type: Darklang.Cli.Outliner.Store.PersistedData: not in the type closure		
Darklang.SCM.PackageOps.unknownRecords	7ec1b306252dc5a3a73b4e1ea20365d7c98708dd78e1bd1d5cdb9297d36c147f	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.SCM.Wire.rememberRelayInstance	7ec279278651ba80c1d5369601e5cba7d48fec7feebdc910b8c98a84b3b9a4a7	yes		36536 bytes	match	match
Darklang.SCM.Branches.relayGetBundle	7ecec502fb865b57dad37dbdac7a880150c5cd60714959cca47668eac7e05077	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Cli.Tests.testTextCursorAfterFullRowWraps	7ecfd6c5d4dbd74f59303eac3ef6273ec3cca8520d534319dcb28cc44d1b4fc0	yes		62688 bytes	match	match
Darklang.Cli.Apps.Views.App.complete	7ecff236e6d362c3105963d378861ad6e422348dade2fe3d79f2e2027c401d11	yes		69744 bytes	noargs	noargs|TCustomType ({ originalName = ["Darklang"; "Cli"; "AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, []), TList TString
Darklang.Stdlib.Blob.toHex	7ee4311a48668070b368e514441c36a27a2ce54b5ddeba8e8c18b74df91d028b	yes		65480 bytes	match	match
Darklang.WIP.AI.OpenAI.Chat.withAudioParam	7eee701ee76fdbc403ecaa47dd1cbc60bfb722310fa285537a2999d48051661b	yes		4448 bytes	match	match
Darklang.Stdlib.Env.getAll	7ef7e4edd6d1ed050dc3c74d23b0c92d8d33bcc931eb083f9e62a9e4f1885a89	no	builtin not routed	unsupported-builtin: environmentGetAll_v0		
Darklang.Cli.Commits.executeShow	7efb3fde68b9023a24ed8d767f8b4244159bba94bace2d7e39b8dfbd05825e46	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Stdlib.Int16.shiftRight	7f0917dbd8a3b6a4153ea28001d4ce622f36fde4b2d01662b87df5bbbcc443e7	yes		616 bytes	match	match
Darklang.LLM.Providers.OpenAI.buildExtendedRequest	7f0ac1d11e00de68b7255275f1746d8ff9c2c77d883f20fc89e6ccbef6b56955	no	compiler: ANF	ANF conversion error: Nested pattern in list element not yet supported		
Darklang.Stdlib.Dict.fromListOverwritingDuplicates	7f3476faefc218d954a8427958ab37870758fc2336bad88084771c2ab8be6231	yes		28608 bytes	unprovable	unprovable|TDict (TInt64, TInt64)
Darklang.Cli.Apps.Command.startDaemon	7f48b3470a5fc4dea038d470f774459e6a9faae34a6418d5263b59a78c1491b2	no	builtin not routed	unsupported-builtin: pmEvaluateValue_v0		
Darklang.WIP.AI.OpenAI.Responses.withTemperature	7f5640d1d91fc10f0cb8befda739fe63f117fdfe5d2fee169aa3e8cbc69cb314	yes		3440 bytes	DIFF	DIFF|c=SimpleText\nhello\nSome\nhello\nSome\n5\nSome\n5\nSome\nhello\\\\nhello\nhello\nSome\ntrue\nSome\nhello\nNone\nSome\nAuto\nSome\ntrue\nSome\n29118:1837106152\nSome\nText\nSome\nAuto\nWebSearch\\nSome\\\\\\\\ntrue\\\\nNone\\\\nNone\nSome\n1074003968:0\nSome\nhello|i=SimpleText\nhello\nSome\nhello\nSome\n5\nSome\n5\nSome\nhello\\\\nhello\nhello\nSome\ntrue\nSome\nhello\nNone\nSome\nAuto\nSome\ntrue\nSome\n1074003968:0\nSome\nText\nSome\nAuto\nWebSearch\\nSome\\\\\\\\ntrue\\\\nNone\\\\nNone\nSome\n1074003968:0\nSome\nhello
Darklang.Stdlib.Int.divide	7f62f60a4c4503d3ea5bbd403a5ab5169c383c260c32f905089a66464a3c8d6d	yes		672 bytes	match	match
Darklang.Stdlib.Cli.UI.Canvas.composeRow	7f6dd542ee9353496e99ab8ce4038a9c455b552c8e24d60708392ebaffdcc4d8	no	builtin not routed	unsupported-builtin: listSortBy_v0		
Darklang.Stdlib.UInt32.fromUInt128	7f6f54d523ec657a2cfd2a7692eb0f8b7c8548ca1304c6b67d1429d29fccea97	no	builtin not routed	unsupported-builtin: uint32FromUInt128_v0		
Darklang.Stdlib.Int16.greaterThan	7fac78fbd9081b297e8988ad1c17b88d5d0a223ef33a6d5b8541af58c0b171d6	yes		512 bytes	match	match
